Category,DayOfWeek,Date,Time,X,Y
WARRANT ARREST,Tuesday,1/1/2013,,-122.3283789,47.55488979
DISTURBANCE,Tuesday,1/1/2013,,-122.3448343,47.71354798
WEAPON,Tuesday,1/1/2013,,-122.3381467,47.61097516
WEAPON,Tuesday,1/1/2013,,-122.3381467,47.61097516
WARRANT ARREST,Tuesday,1/1/2013,,-122.3762185,47.65399222
VEHICLE THEFT,Tuesday,1/1/2013,,-122.373597,47.6530852
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3480357,47.52922283
VEHICLE THEFT,Tuesday,1/1/2013,,-122.282265,47.52786788
DISTURBANCE,Tuesday,1/1/2013,,-122.3592958,47.54653557
WARRANT ARREST,Tuesday,1/1/2013,,-122.3108133,47.61410778
DISTURBANCE,Tuesday,1/1/2013,,-122.3460216,47.70360675
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3340104,47.61064592
BURGLARY,Tuesday,1/1/2013,,-122.3604846,47.52399519
OTHER PROPERTY,Tuesday,1/1/2013,,-122.2680301,47.51985178
NARCOTICS,Tuesday,1/1/2013,,-122.3393581,47.60978173
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3384495,47.60878866
NARCOTICS,Tuesday,1/1/2013,,-122.3382473,47.6102463
NARCOTICS,Tuesday,1/1/2013,,-122.3382473,47.6102463
CAR PROWL,Tuesday,1/1/2013,,-122.3404627,47.61273031
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3820158,47.52878007
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3543917,47.65835124
CAR PROWL,Tuesday,1/1/2013,,-122.318771,47.68087353
CAR PROWL,Tuesday,1/1/2013,,-122.3356834,47.66138576
THREATS,Tuesday,1/1/2013,,-122.33624,47.60469352
THREATS,Tuesday,1/1/2013,,-122.3586874,47.62211557
CAR PROWL,Tuesday,1/1/2013,,-122.360149,47.70873909
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3320656,47.60348178
CAR PROWL,Tuesday,1/1/2013,,-122.2968443,47.55664325
CAR PROWL,Tuesday,1/1/2013,,-122.2968443,47.55664325
ASSAULT,Tuesday,1/1/2013,,-122.3390042,47.53604207
BURGLARY,Tuesday,1/1/2013,,-122.33454,47.60787143
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3256433,47.66134675
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3466378,47.61696696
CAR PROWL,Tuesday,1/1/2013,,-122.3283394,47.60947932
BURGLARY,Tuesday,1/1/2013,,-122.2991394,47.72508386
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.3348658,47.6152845
SHOPLIFTING,Tuesday,1/1/2013,,-122.3139102,47.61995898
DISTURBANCE,Tuesday,1/1/2013,,-122.3254008,47.63536954
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3254056,47.62840516
BIKE THEFT,Tuesday,1/1/2013,,-122.322909,47.54294055
SHOPLIFTING,Tuesday,1/1/2013,,-122.3207714,47.61351951
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3341798,47.60172096
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3943651,47.68238442
ROBBERY,Tuesday,1/1/2013,,-122.3384495,47.60878866
WARRANT ARREST,Tuesday,1/1/2013,,-122.3155393,47.61469289
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3179209,47.66494073
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.2959837,47.60260446
CAR PROWL,Tuesday,1/1/2013,,-122.3272973,47.60498268
OTHER PROPERTY,Tuesday,1/1/2013,,0,0
CAR PROWL,Tuesday,1/1/2013,,-122.2900098,47.5868267
BURGLARY,Tuesday,1/1/2013,,-122.3843334,47.50915848
BURGLARY,Tuesday,1/1/2013,,-122.2907132,47.67578315
WARRANT ARREST,Tuesday,1/1/2013,,-122.3366873,47.61021277
ASSAULT,Tuesday,1/1/2013,,-122.2743257,47.69931101
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3037144,47.60952225
BURGLARY,Tuesday,1/1/2013,,-122.3050128,47.69210855
BURGLARY,Tuesday,1/1/2013,,-122.3050128,47.69210855
THREATS,Tuesday,1/1/2013,,-122.3714211,47.54560679
MAIL THEFT,Tuesday,1/1/2013,,-122.2780684,47.52701149
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.3393581,47.60978173
THREATS,Tuesday,1/1/2013,,-122.3576624,47.65296432
WARRANT ARREST,Tuesday,1/1/2013,,-122.3428796,47.60981273
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3408737,47.60640698
ROBBERY,Tuesday,1/1/2013,,-122.2729835,47.52612513
CAR PROWL,Tuesday,1/1/2013,,-122.321285,47.61094965
CAR PROWL,Tuesday,1/1/2013,,-122.321285,47.61094965
VEHICLE THEFT,Tuesday,1/1/2013,,-122.322856,47.60684034
ASSAULT,Tuesday,1/1/2013,,-122.3415426,47.61278241
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3083407,47.66396269
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3083407,47.66396269
DISTURBANCE,Tuesday,1/1/2013,,-122.2871981,47.57067832
FRAUD,Tuesday,1/1/2013,,-122.3539097,47.64777061
BURGLARY-SECURE PARKING-RES,Tuesday,1/1/2013,,-122.3458377,47.68104649
THREATS,Tuesday,1/1/2013,,-122.3628329,47.53735225
OTHER PROPERTY,Tuesday,1/1/2013,,-122.2840517,47.53704015
BURGLARY,Tuesday,1/1/2013,,-122.3551145,47.52195142
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3311241,47.60171757
BURGLARY,Tuesday,1/1/2013,,-122.3707665,47.56842538
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3768538,47.5183834
CAR PROWL,Tuesday,1/1/2013,,-122.3332067,47.68288625
DISTURBANCE,Tuesday,1/1/2013,,-122.3291534,47.61823776
ANIMAL COMPLAINT,Tuesday,1/1/2013,,-122.3907903,47.5747645
BURGLARY,Tuesday,1/1/2013,,-122.2979954,47.71653188
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3234964,47.66133603
CAR PROWL,Tuesday,1/1/2013,,-122.3283912,47.54468726
THREATS,Tuesday,1/1/2013,,-122.3567145,47.62392989
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3083446,47.70394066
TRESPASS,Tuesday,1/1/2013,,-122.3348659,47.6152845
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.316845,47.61468385
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.316845,47.61468385
DISPUTE,Tuesday,1/1/2013,,-122.3056083,47.59747939
THREATS,Tuesday,1/1/2013,,-122.3127767,47.61351218
FRAUD,Tuesday,1/1/2013,,-122.3870127,47.55300093
DISTURBANCE,Tuesday,1/1/2013,,-122.3633122,47.56563337
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.3867965,47.59514818
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3856036,47.55118645
CAR PROWL,Tuesday,1/1/2013,,-122.3165105,47.67497945
DISTURBANCE,Tuesday,1/1/2013,,-122.2914948,47.60985098
BURGLARY,Tuesday,1/1/2013,,-122.3234626,47.63898662
CAR PROWL,Tuesday,1/1/2013,,-122.3102781,47.59748647
THREATS,Tuesday,1/1/2013,,-122.3474203,47.61508492
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3314781,47.65253652
BURGLARY-SECURE PARKING-RES,Tuesday,1/1/2013,,-122.3209333,47.62369898
THREATS,Tuesday,1/1/2013,,-122.3474203,47.61508492
BURGLARY,Tuesday,1/1/2013,,-122.3072045,47.66395556
BURGLARY,Tuesday,1/1/2013,,-122.3072045,47.66395556
CAR PROWL,Tuesday,1/1/2013,,-122.3140115,47.72666113
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.3767923,47.52017448
DISTURBANCE,Tuesday,1/1/2013,,-122.3165689,47.60001111
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3278333,47.5437898
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3302674,47.60171492
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.293751,47.53891249
SHOPLIFTING,Tuesday,1/1/2013,,-122.312733,47.61909217
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3165689,47.60001111
BURGLARY,Tuesday,1/1/2013,,-122.33454,47.60787143
BURGLARY-SECURE PARKING-RES,Tuesday,1/1/2013,,-122.3072045,47.66395556
CAR PROWL,Tuesday,1/1/2013,,-122.334195,47.59135394
CAR PROWL,Tuesday,1/1/2013,,-122.32306,47.62313408
CAR PROWL,Tuesday,1/1/2013,,-122.3181058,47.71854354
CAR PROWL,Tuesday,1/1/2013,,-122.3181058,47.71854354
ASSAULT,Tuesday,1/1/2013,,-122.3102322,47.60525437
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3218822,47.65752047
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.316845,47.61468385
BIKE THEFT,Tuesday,1/1/2013,,-122.3240162,47.68140084
OTHER PROPERTY,Tuesday,1/1/2013,,-122.2947965,47.68395262
DISTURBANCE,Tuesday,1/1/2013,,-122.313088,47.66399626
CAR PROWL,Tuesday,1/1/2013,,-122.3332682,47.59678343
DISTURBANCE,Tuesday,1/1/2013,,-122.333848,47.74142319
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3065829,47.67853342
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3295812,47.6602785
ASSAULT,Tuesday,1/1/2013,,-122.3606508,47.62153916
ASSAULT,Tuesday,1/1/2013,,-122.3606508,47.62153916
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3272133,47.61959953
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.355302,47.68217947
DISTURBANCE,Tuesday,1/1/2013,,-122.3445627,47.61222186
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3539429,47.65212543
ASSAULT,Tuesday,1/1/2013,,-122.3259434,47.61811262
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3289145,47.61346576
FRAUD,Tuesday,1/1/2013,,-122.3289145,47.61346576
ASSAULT,Tuesday,1/1/2013,,-122.3338878,47.60715814
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3071503,47.66746428
ROBBERY,Tuesday,1/1/2013,,-122.3322242,47.60088042
ASSAULT,Tuesday,1/1/2013,,-122.3458631,47.61299081
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3730753,47.65550753
ROBBERY,Tuesday,1/1/2013,,-122.339613,47.72707173
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3730753,47.65550753
CAR PROWL,Tuesday,1/1/2013,,-122.3645124,47.52738184
VEHICLE THEFT,Tuesday,1/1/2013,,-122.2546812,47.51334308
ROBBERY,Tuesday,1/1/2013,,-122.2702743,47.5369554
TRESPASS,Tuesday,1/1/2013,,-122.3161829,47.61410834
INJURY,Tuesday,1/1/2013,,-127.3906619,46.80829712
DISTURBANCE,Tuesday,1/1/2013,,-122.3460832,47.6137075
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3071503,47.66746428
ASSAULT,Tuesday,1/1/2013,,-122.3335291,47.60088239
CAR PROWL,Tuesday,1/1/2013,,-122.3776316,47.55288712
FORGERY,Tuesday,1/1/2013,,-122.3263655,47.59793449
THREATS,Tuesday,1/1/2013,,-122.3509929,47.72322285
DISTURBANCE,Tuesday,1/1/2013,,-122.3099762,47.62605634
FRAUD,Tuesday,1/1/2013,,-122.2851917,47.54974192
BIKE THEFT,Tuesday,1/1/2013,,-122.3916714,47.59197994
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3229996,47.63348922
BURGLARY-SECURE PARKING-RES,Tuesday,1/1/2013,,-122.3867965,47.59514818
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3175068,47.61525916
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3290582,47.57664991
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.344734,47.65164328
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3423151,47.62842906
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3831086,47.54753409
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3350498,47.69867736
PICKPOCKET,Tuesday,1/1/2013,,-122.3332682,47.59678343
FRAUD,Tuesday,1/1/2013,,-122.314856,47.58926557
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3384302,47.6252618
FRAUD,Tuesday,1/1/2013,,-122.3680554,47.69924025
CAR PROWL,Tuesday,1/1/2013,,-122.322322,47.62866613
FRAUD,Tuesday,1/1/2013,,-122.3344605,47.65431315
OTHER PROPERTY,Tuesday,1/1/2013,,-122.2814738,47.5388886
EMBEZZLE,Tuesday,1/1/2013,,-122.3227311,47.56563275
BURGLARY,Tuesday,1/1/2013,,-122.3207536,47.60764594
FRAUD,Tuesday,1/1/2013,,-122.2799925,47.69431303
BURGLARY,Tuesday,1/1/2013,,-122.2816165,47.51203713
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3044043,47.66700204
THREATS,Tuesday,1/1/2013,,-122.3428217,47.6100189
OTHER PROPERTY,Tuesday,1/1/2013,,-122.307008,47.59999802
ASSAULT,Wednesday,1/2/2013,,-122.2647897,47.52615323
DISORDERLY CONDUCT,Wednesday,1/2/2013,,-122.3381467,47.61097516
CAR PROWL,Wednesday,1/2/2013,,-122.3176138,47.6908244
WARRANT ARREST,Wednesday,1/2/2013,,-122.3373388,47.60925298
OTHER PROPERTY,Wednesday,1/2/2013,,-122.2956146,47.66391697
CAR PROWL,Wednesday,1/2/2013,,-122.3608016,47.5210283
NARCOTICS,Wednesday,1/2/2013,,-122.3359286,47.61190424
NARCOTICS,Wednesday,1/2/2013,,-122.3373204,47.61132124
BURGLARY,Wednesday,1/2/2013,,-122.3574235,47.64965732
EMBEZZLE,Wednesday,1/2/2013,,-122.3161829,47.61410834
NARCOTICS,Wednesday,1/2/2013,,-122.3347175,47.61309798
NARCOTICS,Wednesday,1/2/2013,,-122.3393581,47.60978173
WARRANT ARREST,Wednesday,1/2/2013,,-122.3287129,47.61491893
VEHICLE THEFT,Wednesday,1/2/2013,,-122.3454978,47.53094041
BURGLARY-SECURE PARKING-RES,Wednesday,1/2/2013,,-122.3754594,47.6915239
CAR PROWL,Wednesday,1/2/2013,,-122.3506624,47.64410504
WARRANT ARREST,Wednesday,1/2/2013,,-122.3207812,47.61407415
WARRANT ARREST,Wednesday,1/2/2013,,-122.3022238,47.59602367
CAR PROWL,Wednesday,1/2/2013,,-122.304352,47.70713084
WARRANT ARREST,Wednesday,1/2/2013,,-122.3625019,47.67866588
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.361984,47.69063292
OTHER PROPERTY,Wednesday,1/2/2013,,-122.283948,47.71101578
WARRANT ARREST,Wednesday,1/2/2013,,-127.3906619,46.80829712
THREATS,Wednesday,1/2/2013,,-122.3337267,47.60278736
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3323883,47.60384051
CAR PROWL,Wednesday,1/2/2013,,-122.3423867,47.620304
CAR PROWL,Wednesday,1/2/2013,,-122.3423867,47.620304
CAR PROWL,Wednesday,1/2/2013,,-122.3423867,47.620304
CAR PROWL,Wednesday,1/2/2013,,-122.3181317,47.61351284
CAR PROWL,Wednesday,1/2/2013,,-122.3208932,47.65115481
CAR PROWL,Wednesday,1/2/2013,,-122.3562746,47.6643068
CAR PROWL,Wednesday,1/2/2013,,-122.3208932,47.65115481
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.2800603,47.53705079
CAR PROWL,Wednesday,1/2/2013,,-122.3506624,47.64410504
NARCOTICS,Wednesday,1/2/2013,,-122.3364861,47.61167143
THREATS,Wednesday,1/2/2013,,-122.373595,47.66256693
WARRANT ARREST,Wednesday,1/2/2013,,-122.3283091,47.61508133
BURGLARY-SECURE PARKING-RES,Wednesday,1/2/2013,,-122.3715103,47.57436176
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.3445051,47.68730383
BURGLARY-SECURE PARKING-RES,Wednesday,1/2/2013,,-122.3715103,47.57436176
BIKE THEFT,Wednesday,1/2/2013,,-122.284837,47.55744456
BURGLARY-SECURE PARKING-RES,Wednesday,1/2/2013,,-122.3035917,47.66799847
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.2865136,47.57762424
NARCOTICS,Wednesday,1/2/2013,,-122.3768044,47.6915193
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.408664,47.57977706
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.3767718,47.68045516
OTHER PROPERTY,Wednesday,1/2/2013,,-122.2818469,47.53377603
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.3448961,47.71717447
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3569626,47.63534934
CAR PROWL,Wednesday,1/2/2013,,-122.3539597,47.69331364
CAR PROWL,Wednesday,1/2/2013,,-122.3462999,47.62090263
CAR PROWL,Wednesday,1/2/2013,,-122.3495702,47.6436866
VIOLATION OF COURT ORDER,Wednesday,1/2/2013,,-122.3439077,47.63674816
WARRANT ARREST,Wednesday,1/2/2013,,-122.3359286,47.61190424
BURGLARY,Wednesday,1/2/2013,,-122.3006229,47.66925668
BURGLARY-SECURE PARKING-RES,Wednesday,1/2/2013,,-122.3528348,47.61917538
CAR PROWL,Wednesday,1/2/2013,,-122.3544129,47.66809136
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.3940886,47.51578749
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.2841015,47.61205754
CAR PROWL,Wednesday,1/2/2013,,-122.3575396,47.64581316
OTHER PROPERTY,Wednesday,1/2/2013,,-122.2995577,47.59555717
WARRANT ARREST,Wednesday,1/2/2013,,-122.3359286,47.61190424
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3333676,47.60490966
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3213149,47.62597678
STOLEN PROPERTY,Wednesday,1/2/2013,,-122.3207714,47.61351951
CAR PROWL,Wednesday,1/2/2013,,-122.3348257,47.60004523
THREATS,Wednesday,1/2/2013,,-122.3255523,47.61704062
WARRANT ARREST,Wednesday,1/2/2013,,-122.3448961,47.71717447
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.3269479,47.66572488
THREATS,Wednesday,1/2/2013,,-122.3047678,47.6277454
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3006102,47.66712254
OTHER PROPERTY,Wednesday,1/2/2013,,-122.284802,47.54283259
SHOPLIFTING,Wednesday,1/2/2013,,-122.3200827,47.60621058
SHOPLIFTING,Wednesday,1/2/2013,,-122.3505957,47.65095794
SHOPLIFTING,Wednesday,1/2/2013,,-122.3505957,47.65095794
WARRANT ARREST,Wednesday,1/2/2013,,-122.3091049,47.71938144
RECKLESS BURNING,Wednesday,1/2/2013,,-122.3095145,47.61290343
CAR PROWL,Wednesday,1/2/2013,,-122.3609321,47.7341392
DISTURBANCE,Wednesday,1/2/2013,,-122.33886,47.66138609
DISTURBANCE,Wednesday,1/2/2013,,-122.3881276,47.56385063
WARRANT ARREST,Wednesday,1/2/2013,,-122.339257,47.61051065
CAR PROWL,Wednesday,1/2/2013,,-122.3721802,47.66365982
ASSAULT,Wednesday,1/2/2013,,-122.3246152,47.7086028
STOLEN PROPERTY,Wednesday,1/2/2013,,-122.3417479,47.6072567
TRESPASS,Wednesday,1/2/2013,,-122.3385235,47.61334267
NARCOTICS,Wednesday,1/2/2013,,-122.3290483,47.58878256
FRAUD,Wednesday,1/2/2013,,-122.3221964,47.61931579
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3295344,47.55526724
OTHER PROPERTY,Wednesday,1/2/2013,,-127.3906619,46.80829712
WARRANT ARREST,Wednesday,1/2/2013,,-122.3365991,47.61571989
ASSAULT,Wednesday,1/2/2013,,-122.3336927,47.60526721
FRAUD,Wednesday,1/2/2013,,-122.3114466,47.58100569
STOLEN PROPERTY,Wednesday,1/2/2013,,-122.3255301,47.61521846
STOLEN PROPERTY,Wednesday,1/2/2013,,-122.3255301,47.61521846
FRAUD,Wednesday,1/2/2013,,-122.3234439,47.60412807
OTHER PROPERTY,Wednesday,1/2/2013,,-122.305022,47.608519
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3234439,47.60412807
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.38466,47.64751697
TRESPASS,Wednesday,1/2/2013,,-122.3385235,47.61334267
BURGLARY,Wednesday,1/2/2013,,-122.2862582,47.5415623
WARRANT ARREST,Wednesday,1/2/2013,,-122.2758442,47.52518606
OTHER PROPERTY,Wednesday,1/2/2013,,0,0
ASSAULT,Wednesday,1/2/2013,,-122.3364801,47.69413744
BURGLARY,Wednesday,1/2/2013,,-122.3272634,47.6074632
BIKE THEFT,Wednesday,1/2/2013,,-122.3730797,47.58182498
MAIL THEFT,Wednesday,1/2/2013,,-122.3640125,47.6942521
TRAFFIC,Wednesday,1/2/2013,,-122.3154641,47.60712695
CAR PROWL,Wednesday,1/2/2013,,-122.3259581,47.60603682
CAR PROWL,Wednesday,1/2/2013,,-122.3259581,47.60603683
CAR PROWL,Wednesday,1/2/2013,,-122.3259581,47.60603683
CAR PROWL,Wednesday,1/2/2013,,-122.3259581,47.60603683
NARCOTICS,Wednesday,1/2/2013,,-122.3239762,47.56406844
SHOPLIFTING,Wednesday,1/2/2013,,-122.3016639,47.58295413
LIQUOR VIOLATION,Wednesday,1/2/2013,,-122.3335291,47.60088239
BURGLARY,Wednesday,1/2/2013,,-122.3208637,47.61932364
BURGLARY,Wednesday,1/2/2013,,-122.3208637,47.61932364
FRAUD,Wednesday,1/2/2013,,-122.2865435,47.56410833
NARCOTICS,Wednesday,1/2/2013,,-122.3445163,47.68947438
ROBBERY,Wednesday,1/2/2013,,-122.2943965,47.57343082
NARCOTICS,Wednesday,1/2/2013,,-122.3335291,47.60088239
CAR PROWL,Wednesday,1/2/2013,,-122.3540368,47.51735382
WARRANT ARREST,Wednesday,1/2/2013,,-122.3302674,47.60171492
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3309267,47.59919974
WARRANT ARREST,Wednesday,1/2/2013,,-122.3317354,47.60312654
BURGLARY,Wednesday,1/2/2013,,-122.259543,47.68213841
WARRANT ARREST,Wednesday,1/2/2013,,-122.3317354,47.60312654
WARRANT ARREST,Wednesday,1/2/2013,,-122.3400165,47.60881966
DISTURBANCE,Wednesday,1/2/2013,,-122.3119268,47.66566055
BURGLARY,Wednesday,1/2/2013,,-122.3715103,47.57436175
OTHER PROPERTY,Wednesday,1/2/2013,,-127.3906619,46.80829712
WARRANT ARREST,Wednesday,1/2/2013,,-122.3477718,47.73167697
ROBBERY,Wednesday,1/2/2013,,-122.3867767,47.56200905
CAR PROWL,Wednesday,1/2/2013,,-122.3650499,47.65894154
VEHICLE THEFT,Wednesday,1/2/2013,,-122.3480357,47.52922283
TRAFFIC,Wednesday,1/2/2013,,-122.320763,47.61116787
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.3133354,47.65339821
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3356834,47.66138576
FRAUD,Wednesday,1/2/2013,,-122.3275538,47.635931
OTHER PROPERTY,Wednesday,1/2/2013,,-122.2880959,47.55122823
BURGLARY,Wednesday,1/2/2013,,-122.3533353,47.6650185
OTHER PROPERTY,Wednesday,1/2/2013,,-122.331849,47.62796758
FRAUD,Wednesday,1/2/2013,,-122.275084,47.54603263
NARCOTICS,Wednesday,1/2/2013,,-122.3382473,47.6102463
FRAUD,Wednesday,1/2/2013,,-122.2987608,47.59614551
NARCOTICS,Wednesday,1/2/2013,,-122.3348033,47.60480289
FRAUD,Wednesday,1/2/2013,,-122.345027,47.72776862
STOLEN PROPERTY,Wednesday,1/2/2013,,-122.3847431,47.67054767
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.2831519,47.70738554
VEHICLE THEFT,Wednesday,1/2/2013,,-122.347373,47.52464831
VEHICLE THEFT,Wednesday,1/2/2013,,-122.38538,47.68225414
BURGLARY,Wednesday,1/2/2013,,-122.3041271,47.66399256
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.2937511,47.53891249
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3495322,47.72738769
FRAUD,Wednesday,1/2/2013,,-122.2892924,47.71373184
FRAUD,Wednesday,1/2/2013,,-122.387472,47.65854562
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3936837,47.6686514
PROPERTY DAMAGE,Wednesday,1/2/2013,,-122.3534138,47.65200382
TRESPASS,Wednesday,1/2/2013,,-122.3314461,47.61171146
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3347355,47.54370778
THREATS,Wednesday,1/2/2013,,-122.3607471,47.70294273
BURGLARY,Wednesday,1/2/2013,,-122.3479962,47.52190209
STOLEN PROPERTY,Wednesday,1/2/2013,,-122.3351198,47.58927055
BURGLARY,Wednesday,1/2/2013,,-122.3607279,47.70057837
BURGLARY,Wednesday,1/2/2013,,-122.3607279,47.70057837
ASSAULT,Wednesday,1/2/2013,,-122.3006102,47.66712254
BURGLARY,Wednesday,1/2/2013,,-127.3906619,46.80829712
BURGLARY,Wednesday,1/2/2013,,-122.3569475,47.56922664
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3246841,47.63630629
CAR PROWL,Wednesday,1/2/2013,,-122.3193017,47.68087934
WARRANT ARREST,Wednesday,1/2/2013,,-122.3305103,47.60188591
WARRANT ARREST,Wednesday,1/2/2013,,-122.3305103,47.60188591
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3535668,47.71959599
NARCOTICS,Wednesday,1/2/2013,,-122.3447936,47.61470374
OTHER PROPERTY,Wednesday,1/2/2013,,-122.2821105,47.55942991
WARRANT ARREST,Wednesday,1/2/2013,,-122.3506924,47.61701628
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3982603,47.5612152
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3941789,47.64217691
FRAUD,Wednesday,1/2/2013,,-122.2854528,47.62508404
OTHER PROPERTY,Wednesday,1/2/2013,,-122.3224504,47.5818897
FRAUD,Wednesday,1/2/2013,,-122.3336927,47.60526721
TRESPASS,Wednesday,1/2/2013,,-122.3129536,47.65088264
OTHER PROPERTY,Thursday,1/3/2013,,-122.3910925,47.53882056
VEHICLE THEFT,Thursday,1/3/2013,,-122.2853849,47.55704307
CAR PROWL,Thursday,1/3/2013,,-122.3543761,47.66081148
CAR PROWL,Thursday,1/3/2013,,-122.2834684,47.55784343
BURGLARY,Thursday,1/3/2013,,-122.3214659,47.62199102
STOLEN PROPERTY,Thursday,1/3/2013,,-122.3436798,47.621477
ASSAULT,Thursday,1/3/2013,,-122.3822186,47.66944992
BURGLARY,Thursday,1/3/2013,,-122.344364,47.61503675
PROPERTY DAMAGE,Thursday,1/3/2013,,-122.337438,47.66722069
WARRANT ARREST,Thursday,1/3/2013,,-122.337793,47.60974846
ASSAULT,Thursday,1/3/2013,,-122.3043018,47.54882078
OTHER PROPERTY,Thursday,1/3/2013,,-122.3463013,47.62031869
BURGLARY,Thursday,1/3/2013,,-122.3337075,47.6128322
WARRANT ARREST,Thursday,1/3/2013,,-122.3279154,47.6145776
WARRANT ARREST,Thursday,1/3/2013,,-122.3283588,47.61369803
WARRANT ARREST,Thursday,1/3/2013,,-122.2794262,47.53889029
PROPERTY DAMAGE,Thursday,1/3/2013,,-122.3246152,47.7086028
CAR PROWL,Thursday,1/3/2013,,-122.2943868,47.54072133
ROBBERY,Thursday,1/3/2013,,-122.2999376,47.59743197
PROPERTY DAMAGE,Thursday,1/3/2013,,-122.2828269,47.72155717
THREATS,Thursday,1/3/2013,,-122.276548,47.54667843
CAR PROWL,Thursday,1/3/2013,,-122.3192897,47.68018848
OTHER PROPERTY,Thursday,1/3/2013,,-122.3774515,47.56245377
PROPERTY DAMAGE,Thursday,1/3/2013,,-122.3283912,47.54468726
